start_ms,end_ms,type,description,exp_name
1775767571104,1775767591224,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767591224,1775767604808,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767604808,1775767613880,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767613880,1775767627592,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767627592,1775767636600,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767636600,1775767650760,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767650760,1775767660536,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767660536,1775767671368,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767671368,1775767680696,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767680696,1775767694856,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767694856,1775767703928,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767703928,1775767717832,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767717832,1775767727288,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767727288,1775767737800,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767737800,1775767809144,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767809144,1775767835336,up,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767835336,1775767846584,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767846584,1775767857544,down,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
1775767857544,1775767867896,outside,,RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026
